Sr No.,NAMC_ID,NAMC_CODE,NAMC_term,NAMC_term_diacritical,NAMC_term_DEVANAGARI,Short_definition,Long_definition,Ontology_branches,code,term_english,description,icd11_code,icd11_term
11,11,AAA-2.4,vyAnavAtakopaH,vyānavātakōpaḥ,व्यानवातकोपः,,"the disorder is characterized by puṁstvabhraṁśa [decrease in virility/semen], utsāhabhraṁśa [decrease/lack of enthusiasm/energy], balabhraṁśaḥ [diminution of physical strength], śōpha [oedema], cittōtplava [excitement], jvaraḥ [fever], sarvāṅgarōga [quadriplegia], nistōda [pricking type of pain], rōmaharṣa [horripilation], aṅgasuptatā [numbness of body parts], kuṣṭhaḥ [skin disease], visarpa [spreading cellulitis/erysipelas], sarvāṅgaga rōga [diseases affecting whole body]",,AAA-2.4,vyAnavAtakopaH,,BA00,Disorders of the nervous system
12,12,AAA-2.5,samAnavAtakopaH,samānavātakōpaḥ,समानवातकोपः,,"the disorder is characterized by gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], agnisādaḥ [diminution of agni (digestive power)], atisāra [diarrhoea], śūla [colicky pain in the abdomen], grahaṇī [derangement of agni situated in grahaṇī], pakvāśayajarōga [diseases of/having origin in pakvāśaya], āmāśayajarōgaḥ [diseases of/having origin in āmāśaya]",,AAA-2.5,samAnavAtakopaH,,BA00,Disorders of the nervous system
13,13,AAA-2.6,apAnavAtakopaH,apānavātakōpaḥ,अपानवातकोपः,,"the disorder is characterized by pakvāśayāśrayarōgaḥ [diseases of pakvāśaya], mūtrapradōṣaḥ [disorders of mūtra/urinary system], śukrapradōṣaḥ [disorders of semen], arśaḥ [haemorrhoids], gudabhraṁśaḥ [rectal prolapse]",,AAA-2.6,apAnavAtakopaH,,BA00,Disorders of the nervous system
14,14,SR13(AAA-3),vAtaprasaraNam,(a) vātaprasaraḥ,वातप्रसरणम्,,"It is characterized by abnormal movements of vāta, abdominal distension and gurgling sound in the abdomen. This may be explained by spreading of vatadosha from place of accumulation to other parts or entire body.",,SR13(AAA-3),vAtaprasaraNam,,BA00,Disorders of the nervous system
15,15,SR14 (AAA-4),vAtakShayaH,(a) vātakṣayaḥ,वातक्षयः,,"It is characterized by sluggishness in activities, reduced talking, lack of interest in activities, loss of consciousness. This may be explained by marked decrease of vatadosha functions and consequent physiological and pathological ramifications.",,SR14 (AAA-4),vAtakShayaH,,BA00,Disorders of the nervous system
16,16,AAB,nAnAtmajavAtavikAraH,nānātmajavātavikāraḥ,नानात्मजवातविकारः,,,,AAB,nAnAtmajavAtavikAraH,,BA00,Disorders of the nervous system
17,17,SQ00 (AAB-1),atipralApaH (kEvalavAta),(a) atipralāpaḥ (a) pralāpakaḥ,अतिप्रलापः (केवलवात),,"It is characterised by irrelevant and irrational talk, mental confusion. This may be explained by: (a) Vitiation of Vata affecting motor and intellectual faculties.",,SQ00 (AAB-1),atipralApaH (kEvalavAta),,BA00,Disorders of the nervous system
18,18,SQ05(AAB-2),anavasthitacittatvam (kEvalavAta),(a) anavasthitacittatvam,अनवस्थितचित्तत्वम् (केवलवात),,"It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind.",,SQ05(AAB-2),anavasthitacittatvam (kEvalavAta),,BA00,Disorders of the nervous system
19,19,AAB-3 (SP9Y),a~ggamardaH (kEvalavAta),(a) aṅgamardaḥ,अङ्गमर्दः (केवलवात),,,,AAB-3 (SP9Y),a~ggamardaH (kEvalavAta),,BA00,Disorders of the nervous system
20,20,AAB-4 (SP9Y),a~ggaSuShkatA (kEvalavAta),(a) aṅgaśuṣkatā,अङ्गशुष्कता (केवलवात),,,,AAB-4 (SP9Y),a~ggaSuShkatA (kEvalavAta),,BA00,Disorders of the nervous system
21,21,SP21 (AAB-5),a~ggaviBraMSaH (kEvalavAta),(a) aṅgavibhraṁśaḥ,अङ्गविभ्रंशः (केवलवात),,"It is characterised by atony or flaccidity of the joints, muscles and body parts. This may be explained by: (a) Obstructed or aggravated vata causes loss of functions, flaccidity.",,SP21 (AAB-5),a~ggaviBraMSaH (kEvalavAta),,BA00,Disorders of the nervous system
22,22,AAB-6,arditaH (kEvalavAta),arditaḥ (kēvalavāta),अर्दितः (केवलवात),,,,AAB-6,arditaH (kEvalavAta),,BA00,Disorders of the nervous system
23,23,SM1P (AAB-7),arasaj~jatA (kEvalavAta),(a) arasajñatā,अरसज्ञता (केवलवात),,"It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue.",,SM1P (AAB-7),arasaj~jatA (kEvalavAta),,BA00,Disorders of the nervous system
24,24,AAB-8,aSabdaSravaNam (kEvalavAta),aśabdaśravaṇam (kēvalavāta),अशब्दश्रवणम् (केवलवात),,,,AAB-8,aSabdaSravaNam (kEvalavAta),,BA00,Disorders of the nervous system
25,25,AAB-9,asvapnaH (kEvalavAta),asvapnaḥ (kēvalavāta),अस्वप्नः (केवलवात),,,,AAB-9,asvapnaH (kEvalavAta),,BA00,Disorders of the nervous system
26,26,AAB-10,akShiBedaH (kEvalavAta),akṣibhēdaḥ (kēvalavāta),अक्षिभेदः (केवलवात),,,,AAB-10,akShiBedaH (kEvalavAta),,BA00,Disorders of the nervous system
27,27,AAB-11,akShivyudAsaH (kEvalavAta),akṣivyudāsaḥ (kēvalavāta),अक्षिव्युदासः (केवलवात),,,,AAB-11,akShivyudAsaH (kEvalavAta),,BA00,Disorders of the nervous system
28,28,AAB-12,akShiSUlaH (kEvalavAta),akṣiśūlaḥ (kēvalavāta),अक्षिशूलः (केवलवात),,,,AAB-12,akShiSUlaH (kEvalavAta),,BA00,Disorders of the nervous system
29,29,AAB-13,ATopaH (kEvalavAta),āṭōpaḥ (kēvalavāta),आटोपः (केवलवात),,,,AAB-13,ATopaH (kEvalavAta),,BA00,Disorders of the nervous system
30,30,AAB-14,AkShepakaH (kEvalavAta),ākṣēpakaḥ (kēvalavāta),आक्षेपकः (केवलवात),,,,AAB-14,AkShepakaH (kEvalavAta),,BA00,Disorders of the nervous system
